,s,t,method,hash,k,cost,factor,portfolio,infos
3200,18,38,penalised djikstra(1.3),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,6,55.3829462882338,,[a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-63-142;a92-95-128-23-55-130-151;a18-122-149-20-28-30-151;a92-95-128-73-71-14-12-142],[56.456;;68.132;;82.331;;84.415;;94.664;;99.925]
3201,18,38,penalised djikstra(1.3),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,6,55.3829462882338,1.006077608289766,[a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-63-142;a92-95-128-23-55-130-151;a18-122-149-20-28-30-151;a92-95-128-73-71-14-12-142],[56.456;;68.132;;82.331;;84.415;;94.664;;99.925]
3202,18,38,penalised djikstra(1.4),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,6,55.07604266028704,,[a18-61-124-63-142;a18-61-90-155-30-151;a92-95-128-23-134-12-142;a18-122-149-20-28-30-151;a18-61-124-130-151;a92-95-128-73-71-14-12-142],[56.456;;70.424;;84.173;;88.527;;108.264;;110.217]
3203,18,38,penalised djikstra(1.4),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,6,55.07604266028704,1.0005024468244808,[a18-61-124-63-142;a18-61-90-155-30-151;a92-95-128-23-134-12-142;a18-122-149-20-28-30-151;a18-61-124-130-151;a92-95-128-73-71-14-12-142],[56.456;;70.424;;84.173;;88.527;;108.264;;110.217]
3204,18,38,greedy,c539c10233e857faac14ba4e7c580b9914d39c989616057b920cb8ce3825cb6d,5,55.069252678312495,1.0003791011145986,[a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-130-151;a18-122-149-20-28-30-151;a18-61-90-27-28-30-151],[+2.56%;;+0.80%;;+0.13%;;+0.08%;;+0.04%]
3205,18,38,most frequent shortest paths,120d5c6e56ceb65e9f5418ea9b966d31319dadb98731c6602535ded982afe2e2,5,55.069252678312495,1.0003791011145986,[a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-130-151;a18-61-90-27-28-30-151;a18-122-149-20-28-30-151],[+2.56% | f=0.675;;+0.80% | f=0.171;;+0.13% | f=0.121;;+0.08% | f=0.014;;+0.04% | f=0.014]
3206,18,38,penalised djikstra(1.05),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,5,55.491163238,,[a18-61-124-63-142;a18-61-124-63-142;a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-63-142],[56.456;;59.278;;62.242;;64.869;;66.681]
3207,18,38,penalised djikstra(1.05),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,5,55.491163238,1.0080434598251928,[a18-61-124-63-142;a18-61-124-63-142;a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-63-142],[56.456;;59.278;;62.242;;64.869;;66.681]
3208,18,38,penalised djikstra(1.1),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,5,55.122174525016206,,[a18-61-124-63-142;a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-130-151;a18-61-124-63-142],[56.456;;62.101;;66.069;;71.080;;75.329]
3209,18,38,penalised djikstra(1.1),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,5,55.122174525016206,1.001340470787509,[a18-61-124-63-142;a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-130-151;a18-61-124-63-142],[56.456;;62.101;;66.069;;71.080;;75.329]
