,k,d,i,j
801,35,1476,2,7
802,35,1648,2,8
803,35,1906,2,9
804,35,1512,2,10
805,35,1109,2,11
806,35,1677,2,12
807,35,1952,2,13
808,35,2012,2,14
809,35,1832,2,15
810,35,1722,2,16
811,35,1657,2,17
812,35,1839,2,18
813,35,2384,2,19
814,35,2025,3,4
815,35,1482,3,5
816,35,2480,3,6
817,35,1935,3,7
818,35,2277,3,8
819,35,1589,3,9
820,35,2191,3,10
821,35,1946,3,11
822,35,2052,3,12
823,35,2197,3,13
824,35,2355,3,14
825,35,2044,3,15
826,35,2187,3,16
827,35,2456,3,17
828,35,2514,3,18
829,35,2492,3,19
830,35,1764,4,5
831,35,765,4,6
832,35,1139,4,7
833,35,1159,4,8
834,35,2270,4,9
835,35,1361,4,10
836,35,1760,4,11
837,35,1192,4,12
838,35,2347,4,13
839,35,2171,4,14
840,35,2039,4,15
841,35,941,4,16
842,35,2032,4,17
843,35,2141,4,18
844,35,2353,4,19
845,35,1924,5,6
846,35,2166,5,7
847,35,1754,5,8
848,35,2085,5,9
849,35,2185,5,10
850,35,2072,5,11
851,35,1782,5,12
852,35,2122,5,13
853,35,2278,5,14
854,35,2041,5,15
855,35,1556,5,16
856,35,2556,5,17
857,35,2218,5,18
858,35,2745,5,19
859,35,1121,6,7
860,35,1251,6,8
861,35,2292,6,9
862,35,906,6,10
863,35,1844,6,11
864,35,1047,6,12
865,35,2333,6,13
866,35,2363,6,14
867,35,2134,6,15
868,35,815,6,16
869,35,2134,6,17
870,35,2155,6,18
871,35,2636,6,19
872,35,1601,7,8
873,35,1939,7,9
874,35,1351,7,10
875,35,1702,7,11
876,35,1655,7,12
877,35,2159,7,13
878,35,2307,7,14
879,35,2106,7,15
880,35,1299,7,16
881,35,1782,7,17
882,35,1851,7,18
883,35,2379,7,19
884,35,2386,8,9
885,35,1521,8,10
886,35,1280,8,11
887,35,1255,8,12
888,35,2075,8,13
889,35,1964,8,14
890,35,1794,8,15
891,35,1345,8,16
892,35,1896,8,17
893,35,2092,8,18
894,35,2398,8,19
895,35,1956,9,10
896,35,1962,9,11
897,35,2118,9,12
898,35,1963,9,13
899,35,2569,9,14
900,35,2332,9,15
901,35,2253,9,16
902,35,2407,9,17
903,35,2441,9,18
904,35,2375,9,19
905,35,1521,10,11
906,35,1470,10,12
907,35,2282,10,13
908,35,2161,10,14
909,35,1931,10,15
910,35,1449,10,16
911,35,1864,10,17
912,35,2153,10,18
913,35,2286,10,19
914,35,1406,11,12
915,35,1754,11,13
916,35,1734,11,14
917,35,1399,11,15
918,35,2030,11,16
919,35,1615,11,17
920,35,1692,11,18
921,35,2321,11,19
922,35,2356,12,13
923,35,1971,12,14
924,35,1596,12,15
925,35,1433,12,16
926,35,2298,12,17
927,35,2184,12,18
928,35,2395,12,19
929,35,2075,13,14
930,35,2052,13,15
931,35,2420,13,16
932,35,1842,13,17
933,35,1750,13,18
934,35,2363,13,19
935,35,1722,14,15
936,35,2310,14,16
937,35,1932,14,17
938,35,2351,14,18
939,35,2201,14,19
940,35,2251,15,16
941,35,2077,15,17
942,35,1913,15,18
943,35,2404,15,19
944,35,2145,16,17
945,35,2322,16,18
946,35,2546,16,19
947,35,1995,17,18
948,35,2239,17,19
949,35,2367,18,19
950,50,1863,0,1
951,50,2211,0,2
952,50,1593,0,3
953,50,1188,0,4
954,50,1914,0,5
955,50,2318,0,6
956,50,1910,0,7
957,50,1720,0,8
958,50,1319,0,9
959,50,2549,0,10
960,50,1714,0,11
961,50,2192,0,12
962,50,2008,0,13
963,50,2374,0,14
964,50,1620,0,15
965,50,1784,0,16
966,50,2116,0,17
967,50,2402,0,18
968,50,1720,0,19
969,50,2059,1,2
970,50,1639,1,3
971,50,1964,1,4
972,50,1811,1,5
973,50,2094,1,6
974,50,1582,1,7
975,50,1268,1,8
976,50,2062,1,9
977,50,2601,1,10
978,50,2101,1,11
979,50,2094,1,12
980,50,1670,1,13
981,50,1963,1,14
982,50,2133,1,15
983,50,2111,1,16
984,50,1960,1,17
985,50,2186,1,18
986,50,1714,1,19
987,50,2108,2,3
988,50,2264,2,4
989,50,2131,2,5
990,50,1575,2,6
991,50,2180,2,7
992,50,2226,2,8
993,50,1991,2,9
994,50,2656,2,10
995,50,2117,2,11
996,50,2145,2,12
997,50,2468,2,13
998,50,2756,2,14
999,50,2411,2,15
1000,50,2175,2,16
1001,50,2157,2,17
1002,50,2165,2,18
1003,50,1992,2,19
1004,50,1334,3,4
1005,50,1766,3,5
1006,50,1981,3,6
1007,50,1831,3,7
1008,50,1885,3,8
1009,50,1317,3,9
1010,50,2592,3,10
1011,50,1755,3,11
1012,50,1964,3,12
1013,50,1687,3,13
1014,50,2510,3,14
1015,50,1770,3,15
1016,50,1738,3,16
1017,50,2162,3,17
1018,50,2038,3,18
1019,50,1668,3,19
1020,50,1479,4,5
1021,50,2331,4,6
1022,50,1956,4,7
1023,50,2110,4,8
1024,50,509,4,9
1025,50,2550,4,10
1026,50,1979,4,11
1027,50,2584,4,12
1028,50,1696,4,13
1029,50,2466,4,14
1030,50,775,4,15
1031,50,2057,4,16
1032,50,2442,4,17
1033,50,2589,4,18
1034,50,2399,4,19
1035,50,2060,5,6
1036,50,1922,5,7
1037,50,1945,5,8
1038,50,1590,5,9
1039,50,2600,5,10
1040,50,2108,5,11
1041,50,2072,5,12
1042,50,1824,5,13
1043,50,2460,5,14
1044,50,1704,5,15
1045,50,1968,5,16
1046,50,2339,5,17
1047,50,2101,5,18
1048,50,2278,5,19
1049,50,2190,6,7
1050,50,2449,6,8
1051,50,2105,6,9
1052,50,2345,6,10
1053,50,1950,6,11
1054,50,1997,6,12
1055,50,2154,6,13
1056,50,2594,6,14
1057,50,2232,6,15
1058,50,1770,6,16
1059,50,2181,6,17
1060,50,1813,6,18
1061,50,2096,6,19
1062,50,1218,7,8
1063,50,1829,7,9
1064,50,2495,7,10
1065,50,2155,7,11
1066,50,2303,7,12
1067,50,1902,7,13
1068,50,2153,7,14
1069,50,2039,7,15
1070,50,2165,7,16
1071,50,2164,7,17
1072,50,2397,7,18
1073,50,1752,7,19
1074,50,2068,8,9
1075,50,2198,8,10
1076,50,2274,8,11
1077,50,2232,8,12
1078,50,2024,8,13
1079,50,2224,8,14
1080,50,2290,8,15
1081,50,2183,8,16
1082,50,2314,8,17
1083,50,2451,8,18
1084,50,1523,8,19
1085,50,2531,9,10
1086,50,1843,9,11
1087,50,2522,9,12
1088,50,1813,9,13
1089,50,2434,9,14
1090,50,1116,9,15
1091,50,2006,9,16
1092,50,2353,9,17
1093,50,2515,9,18
1094,50,2262,9,19
1095,50,2222,10,11
1096,50,2110,10,12
1097,50,1950,10,13
1098,50,1920,10,14
1099,50,2192,10,15
1100,50,2251,10,16
1101,50,2120,10,17
1102,50,1989,10,18
1103,50,2324,10,19
1104,50,1747,11,12
1105,50,2530,11,13
1106,50,2531,11,14
1107,50,2262,11,15
1108,50,1301,11,16
1109,50,2386,11,17
1110,50,1605,11,18
1111,50,1936,11,19
1112,50,2601,12,13
1113,50,2354,12,14
1114,50,2507,12,15
1115,50,1524,12,16
1116,50,2693,12,17
1117,50,1392,12,18
1118,50,1877,12,19
1119,50,1697,13,14
1120,50,1557,13,15
1121,50,2331,13,16
1122,50,1876,13,17
1123,50,2568,13,18
1124,50,2063,13,19
1125,50,2222,14,15
1126,50,2581,14,16
1127,50,1891,14,17
1128,50,2375,14,18
1129,50,2434,14,19
1130,50,2214,15,16
1131,50,2355,15,17
1132,50,2695,15,18
1133,50,2524,15,19
1134,50,2449,16,17
1135,50,1604,16,18
1136,50,1886,16,19
1137,50,2390,17,18
1138,50,1942,17,19
1139,50,2364,18,19
1140,75,2145,0,1
1141,75,2150,0,2
1142,75,2206,0,3
1143,75,1974,0,4
1144,75,2203,0,5
1145,75,2318,0,6
1146,75,2462,0,7
1147,75,2016,0,8
1148,75,2093,0,9
1149,75,1541,0,10
1150,75,1603,0,11
1151,75,2444,0,12
1152,75,2699,0,13
