s,t,expected s-t distance,standard deviation of s-t distance,s,t,entropy,frequency of mode
53,27,75.21323134560413,12.266697786461144,53,27,0.1861521691636673,0.9657407407407408
53,28,40.30009910237962,5.829027730687113,53,28,1.0876327667212387,0.41388888888888886
53,29,50.37606314508792,7.241974311183756,53,29,0.14839823824723647,0.9784722222222222
53,30,94.84823888809763,12.815280450054505,53,30,1.1072036545385622,0.5268518518518519
53,31,91.12534615231733,13.322103916803835,53,31,0.716604648869196,0.8331018518518518
53,32,42.82225174462501,8.195681374334137,53,32,0.033295224391458426,0.9953703703703703
53,33,40.87507930341207,6.381505656152137,53,33,0.12046757987905683,0.9819444444444444
53,34,55.83416264976152,7.718836326514251,53,34,0.14839823824723647,0.9784722222222222
53,35,27.10380484078473,4.871450299106462,53,35,0.6854877514840565,0.5618055555555556
53,36,47.20056507984714,7.248918334305193,53,36,0.12046757987905683,0.9819444444444444
53,37,20.673761253606525,4.423224695655583,53,37,0.021811258609293675,0.9967592592592592
53,38,31.13184941230787,5.508122393456703,53,38,0.08709463908926517,0.9858796296296296
53,39,66.55754150216424,10.964008175449045,53,39,0.38828566640822665,0.8805555555555555
53,40,31.03493389837728,6.1155813446851,53,40,0.021811258609293675,0.9967592592592592
53,41,41.99239913727778,6.459508062175648,53,41,0.0911054759669044,0.9854166666666667
53,42,17.666065600168977,3.866651876180227,53,42,0.020476670688374877,0.9969907407407408
53,43,57.965847425928196,8.912913109926402,53,43,0.12046757987905683,0.9819444444444444
53,44,9.555731301243068,2.607347891148961,53,44,-0.0,1.0
53,45,51.832659859057834,8.205414026307414,53,45,0.38828566640822665,0.8805555555555555
53,46,52.403452672222286,7.842821036787739,53,46,0.0911054759669044,0.9854166666666667
53,47,41.829702459389054,7.276293656286447,53,47,0.027553483579565236,0.9960648148148148
53,48,24.46624961507413,5.073357690237205,53,48,0.020476670688374877,0.9969907407407408
53,49,47.34049627301847,7.529988388192567,53,49,0.6829461221631259,0.5712962962962963
53,50,51.86177010522451,7.931481263528571,53,50,0.6829461221631259,0.5712962962962963
53,51,19.767717598969966,3.627604447415427,53,51,-0.0,1.0
53,52,45.9740877838216,6.975638540434871,53,52,0.36559361817979225,0.882175925925926
53,53,0.0,0.0,53,53,-0.0,1.0
53,54,13.04240801240278,2.4543025456625447,53,54,-0.0,1.0
53,55,32.99571861596531,6.413963120330793,53,55,0.020476670688374877,0.9969907407407408
53,56,10.563610556282429,2.139954332344529,53,56,-0.0,1.0
53,57,65.8141952525719,10.022303005415766,53,57,0.38828566640822665,0.8805555555555555
53,58,71.31879006289373,11.66963829279199,53,58,0.010525772841444644,0.9986111111111111
53,59,11.278704913518528,2.797995940744166,53,59,-0.0,1.0
53,60,26.805829155884243,4.306359344200111,53,60,-0.0,1.0
53,61,27.222444252624996,5.420526278272813,53,61,-0.0,1.0
53,62,33.55871167121758,5.446904042083938,53,62,0.010525772841444644,0.9986111111111111
53,63,45.78028106305793,7.71758772725939,53,63,0.010525772841444644,0.9986111111111111
53,64,41.77875799073154,6.544268359440516,53,64,0.010525772841444644,0.9986111111111111
53,65,53.423161285321775,8.229025806791261,53,65,0.010525772841444644,0.9986111111111111
53,66,79.24795083263906,19.70679054086947,53,66,0.010525772841444644,0.9986111111111111
54,0,94.77801832040558,11.269581463431063,54,0,1.1233025511952266,0.525
54,1,inf,,54,1,-0.0,1.0
54,2,69.19975499719442,8.943119162267028,54,2,1.896281004107803,0.26643518518518516
54,3,73.04600487554602,8.365240333989684,54,3,1.3152429512469608,0.5766203703703704
54,4,61.066453711323994,8.322060868506934,54,4,0.8728383909889271,0.5263888888888889
54,5,75.53594477074304,9.19770265918092,54,5,1.798874624464066,0.26458333333333334
54,6,inf,,54,6,-0.0,1.0
54,7,74.0017520308008,9.160638444622656,54,7,1.2270055483025015,0.4548611111111111
54,8,113.10653793269209,14.658318295540553,54,8,1.1446758460356778,0.5229166666666667
54,9,67.24086730720374,7.91360830939928,54,9,1.3152429512469608,0.5766203703703704
54,10,83.27632969785624,11.301744050538696,54,10,1.1233025511952266,0.525
54,11,63.37052310816197,7.43826775041527,54,11,1.6026631000835923,0.37060185185185185
54,12,53.57344362842605,7.409170535221704,54,12,0.8728383909889271,0.5263888888888889
54,13,inf,,54,13,-0.0,1.0
54,14,74.27031287634958,10.273245345901254,54,14,1.1233025511952266,0.525
54,15,57.643538324632026,6.677384179327213,54,15,1.5649925006293786,0.37245370370370373
54,16,93.85460135958058,12.219005620396626,54,16,1.1446758460356778,0.5229166666666667
54,17,67.08975136831013,8.448859104920189,54,17,0.8663359706366753,0.5094907407407407
54,18,69.67051052500723,10.200421305926568,54,18,0.24848444417804247,0.9548611111111112
54,19,47.5026797465301,6.422835382022864,54,19,0.8725174895164456,0.5263888888888889
54,20,59.310495044965414,7.7337743671933135,54,20,0.23987057637182785,0.9622685185185185
54,21,42.875693953428154,5.986777165345504,54,21,0.8725174895164456,0.5263888888888889
54,22,62.4571737997938,7.965719045205626,54,22,0.23987057637182785,0.9622685185185185
54,23,54.20980862987267,6.630116875325258,54,23,1.0938765112595727,0.4136574074074074
54,24,53.215941048076466,6.537580782470443,54,24,1.2305489662115494,0.3972222222222222
54,25,62.10285038649765,9.604241815260883,54,25,0.13146120358779534,0.9770833333333333
54,26,38.83690728030329,5.930423004198256,54,26,0.06050303923177077,0.9907407407407407
54,27,82.65561610643965,12.425125851068453,54,27,0.25191617068241234,0.9548611111111112
54,28,47.82485934558559,6.161114646444944,54,28,1.0938765112595727,0.4136574074074074
54,29,57.90973413722448,7.867808799878043,54,29,0.1527264841679974,0.9780092592592593
54,30,102.32527772255777,12.88016105071205,54,30,1.1446758460356778,0.5229166666666667
54,31,98.58140928642587,13.411351211857669,54,31,0.7714135607811249,0.825925925925926
54,32,50.20134402079612,8.200762733035411,54,32,0.12625301598629798,0.9777777777777777
54,33,48.40875029554875,7.026155551683246,54,33,0.12479746615693092,0.9814814814814815
54,34,63.367833641898216,8.293116339184587,54,34,0.1527264841679974,0.9780092592592593
54,35,34.62856508399076,5.219286126509929,54,35,0.692173956052359,0.5615740740740741
54,36,54.73423607198395,7.793645056335621,54,36,0.12479746615693092,0.9814814814814815
54,37,28.19573597516212,4.715141872237786,54,37,0.02920107870626881,0.9958333333333333
54,38,38.66552040444438,6.143324633313891,54,38,0.09142637743938585,0.9854166666666667
54,39,54.04858041864344,9.598480503388243,54,39,0.018959672547463474,0.9974537037037037
54,40,38.51764308188433,6.246573010718635,54,40,0.06633630080208326,0.9893518518518518
54,41,49.52607012941432,6.985366580614063,54,41,0.09543699681033974,0.9849537037037037
54,42,25.200983858634196,4.587205478511541,54,42,0.024492697303363606,0.9965277777777778
54,43,65.49951841806478,9.31004378574927,54,43,0.12479746615693092,0.9814814814814815
54,44,17.09131573140276,3.4123221621921678,54,44,0.0040174222145676316,0.999537037037037
54,45,39.323698775536926,6.903885523445129,54,45,0.018959672547463474,0.9974537037037037
54,46,59.93712366435882,8.29060989887297,54,46,0.09543699681033974,0.9849537037037037
54,47,49.10038155534259,7.182228039404706,54,47,0.2279962244309794,0.9428240740740741
54,48,32.00116787353944,5.641107251620416,54,48,0.024492697303363606,0.9965277777777778
54,49,37.45023643225696,5.820266874508395,54,49,0.06311548821912608,0.9884259259259259
54,50,41.971510264462935,6.186277173974519,54,50,0.06311548821912608,0.9884259259259259
54,51,6.725309586567129,1.8068292564360457,54,51,-0.0,1.0
54,52,33.44610782330324,5.711086599537505,54,52,0.014943216068960777,0.9979166666666667
54,53,26.60372548967127,4.960524222323809,54,53,0.0040174222145676316,0.999537037037037
54,54,0.0,0.0,54,54,-0.0,1.0
54,55,40.530636874430435,6.878245747719685,54,55,0.024492697303363606,0.9965277777777778
54,56,2.3318851751898206,0.6171329423383796,54,56,-0.0,1.0
54,57,53.30523416905098,8.712602921102821,54,57,0.018959672547463474,0.9974537037037037
54,58,58.28449056594685,10.321102580959396,54,58,0.0021691886415661126,0.9997685185185186
54,59,37.882430403189865,6.961539562130004,54,59,0.0040174222145676316,0.999537037037037
54,60,13.763421143481462,2.900284259906964,54,60,-0.0,1.0
54,61,18.99071887153243,4.5779899071217836,54,61,-0.0,1.0
54,62,20.52441217427075,3.989355395858173,54,62,0.0021691886415661126,0.9997685185185186
54,63,32.74598156611109,6.348814872695576,54,63,0.0021691886415661126,0.9997685185185186
54,64,28.744458493784702,5.0750737805607615,54,64,0.0021691886415661126,0.9997685185185186
54,65,40.38886178837498,6.841599451472682,54,65,0.0021691886415661126,0.9997685185185186
54,66,66.21365133569202,18.842231345320716,54,66,0.0021691886415661126,0.9997685185185186
55,0,89.83989178965757,11.354452428222029,55,0,0.1734346842396053,0.9636574074074075
55,1,inf,,55,1,-0.0,1.0
55,2,61.38020755873618,8.070739988721478,55,2,1.1694086023543426,0.4949074074074074
55,3,64.3713304464952,6.976910407552762,55,3,0.9154119426902253,0.6613425925925925
55,4,53.41181716351634,7.692385982549773,55,4,0.0021691886415661126,0.9997685185185186
55,5,66.71236958897228,7.739568496825055,55,5,1.5316631450044575,0.300462962962963
55,6,inf,,55,6,-0.0,1.0
55,7,64.91620682129395,7.59516352009622,55,7,1.0531654317865304,0.47291666666666665
55,8,108.17534202635878,14.652142670577794,55,8,0.17674374412192836,0.9636574074074075
55,9,58.5661928781528,6.4615647794934326,55,9,0.9154119426902253,0.6613425925925925
55,10,78.33820316710846,11.287913306883663,55,10,0.1734346842396053,0.9636574074074075
55,11,55.43488925156265,6.458975166670424,55,11,0.9698884652907063,0.612037037037037
55,12,45.91880708061802,6.716035852827014,55,12,0.0021691886415661126,0.9997685185185186
55,13,inf,,55,13,-0.0,1.0
